Company/Brand,Car Name,Battery Capacity (CC),Horsepower (hp),Top Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm)
Volkswagen,Golf Electric,2500,136,140,10.4,33000,E,5.0,290
Volkswagen,Bora,2500,272,200,9.4,20000,P,5.0,220
Volkswagen,Teramont,2500,272,190,8.6,32000,P,7.0,350
Volkswagen,Taos,1498,158,193,8.4,24000,P,5.0,250
Volkswagen,Up! Cabriolet,999,272,160,12.4,18000,P,4.0,95
Volkswagen,T-Roc Cabriolet,2500,272,205,9.6,35000,P,4.0,250
Volkswagen,Passat CC,1984,272,240,7.3,40000,P,5.0,280
Volkswagen,Transporter,1968,272,180,12.2,35000,D,9.0,340
Volkswagen,Amarok V6,2967,272,191,7.9,45000,D,5.0,580
Volkswagen,ID.2,2500,272,160,8,25000,E,5.0,220
Volkswagen,Polo TDI,2500,272,190,9.9,20000,D,5.0,250
Volkswagen,Golf GTE,2500,204,222,7.6,40000,H,5.0,350
Volkswagen,Touareg V8,3956,421,250,4.9,70000,P,5.0,770
Volkswagen,Beetle Dune,1395,150,200,7.5,30000,P,4.0,250
Volkswagen,Passat B8,2500,272,210,8.7,28000,P,5.0,250
Volkswagen,ID.4 Pro S,2500,201,180,7.8,45000,E,5.0,310
Volkswagen,Golf Cabriolet,2500,272,217,8.4,30000,P,4.0,200
Volkswagen,Golf Country,1781,98,165,12,25000,P,5.0,170
Volkswagen,Jetta GLI,1984,228,250,6.5,31000,P,5.0,350
Volkswagen,Arteon Shooting Brake,1984,272,250,5.6,50000,P,5.0,420
Volkswagen,T-Cross R-Line,2500,272,200,8.5,27000,P,5.0,250
Volkswagen,Golf R32,3189,240,250,6.2,40000,P,5.0,320
Volkswagen,Passat B7,2500,272,220,8.5,26000,P,5.0,280
Volkswagen,Scirocco 16V,1781,137,220,7.1,35000,P,4.0,230
Volkswagen,Polo BlueMotion,1199,272,190,10.5,20000,D,5.0,210
Volkswagen,Golf Variant GTD,1968,184,230,7.5,38000,D,5.0,380
Volkswagen,Polo GTI R5,1598,272,200,4.1,45000,P,5.0,400
Volkswagen,ID. Buzz Pro,2500,204,145,10.2,60000,E,7.0,310
Volkswagen,Jetta Hybrid,1395,170,210,8.6,28000,H,5.0,250
Volkswagen,Golf Variant Alltrack,1968,272,220,7.8,35000,P,5.0,320
Volkswagen,Volkswagen XL1,2500,68,160,11.9,150000,H,2.0,140
Volkswagen,Golf TDI,1968,272,220,8,28000,D,5.0,350
Volkswagen,Passat Variant,2500,272,220,8.5,30000,P,5.0,280
Volkswagen,Polo GTI Clubsport,1984,300,240,6.7,30000,P,5.0,320
Volkswagen,Jetta Hybrid,1395,170,210,8.6,28000,H,5.0,250
Volkswagen,ID.3 GTX,2500,299,180,6.2,45000,E,5.0,310
Volkswagen,Arteon R-Line,1984,272,250,5.6,50000,P,5.0,420
Volkswagen,Golf TGI,1498,130,220,8.8,30000,P,5.0,200
Volkswagen,Scirocco GTS,1984,220,246,6.5,35000,P,4.0,350
