Company ,Car Name,Engine,CC,HP (Horsepower),Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm)
,818.0,,1984.0,204.0,238.0,6.7,28000.0,,5.0,320.0
,818.0,,999.0,115.0,196.0,8.8,20000.0,,4.0,200.0
,818.0,,2500.0,272.0,200.0,10.2,25000.0,,5.0,250.0
,818.0,,2500.0,272.0,180.0,8.4,45000.0,,5.0,310.0
,818.0,,2500.0,204.0,145.0,10.2,55000.0,,3.0,310.0
,818.0,,2995.0,462.0,250.0,5.1,70000.0,,5.0,700.0
,818.0,,2500.0,272.0,190.0,9.4,50000.0,,7.0,350.0
,818.0,,1199.0,272.0,190.0,10.5,22000.0,,5.0,250.0
,818.0,,1498.0,272.0,210.0,8.9,30000.0,,5.0,250.0
,818.0,,1968.0,272.0,210.0,7.1,35000.0,,5.0,350.0
,818.0,,1984.0,280.0,250.0,5.5,40000.0,,4.0,350.0
,818.0,,1984.0,272.0,215.0,7.6,35000.0,,7.0,320.0
,818.0,,1984.0,272.0,250.0,5.6,48000.0,,5.0,350.0
,818.0,,2500.0,299.0,180.0,6.2,50000.0,,5.0,460.0
,818.0,,2500.0,204.0,160.0,7.3,35000.0,,5.0,310.0
,818.0,,2500.0,272.0,220.0,7.5,32000.0,,5.0,320.0
,818.0,,1968.0,272.0,160.0,13.0,40000.0,,3.0,410.0
,818.0,,2500.0,272.0,170.0,14.3,15000.0,,4.0,120.0
,818.0,,2861.0,190.0,235.0,6.4,25000.0,,4.0,245.0
,818.0,,2500.0,272.0,250.0,6.1,85000.0,,5.0,560.0
,818.0,,2500.0,272.0,217.0,8.4,30000.0,,4.0,200.0
,818.0,,1498.0,110.0,190.0,12.9,15000.0,,5.0,145.0
,818.0,,2500.0,272.0,170.0,10.8,14000.0,,5.0,132.0
,818.0,,1192.0,272.0,138.0,23.0,25000.0,,2.0,106.0
,818.0,,2500.0,272.0,148.0,17.5,12000.0,,5.0,93.0
,818.0,,1598.0,272.0,186.0,11.7,18000.0,,5.0,153.0
,818.0,,2500.0,136.0,140.0,10.4,33000.0,,5.0,290.0
,818.0,,2500.0,272.0,200.0,9.4,20000.0,,5.0,220.0
,818.0,,2500.0,272.0,190.0,8.6,32000.0,,7.0,350.0
,818.0,,1498.0,158.0,193.0,8.4,24000.0,,5.0,250.0
,818.0,,999.0,272.0,160.0,12.4,18000.0,,4.0,95.0
,818.0,,2500.0,272.0,205.0,9.6,35000.0,,4.0,250.0
,818.0,,1984.0,272.0,240.0,7.3,40000.0,,5.0,280.0
,818.0,,1968.0,272.0,180.0,12.2,35000.0,,9.0,340.0
,818.0,,2967.0,272.0,191.0,7.9,45000.0,,5.0,580.0
,818.0,,2500.0,272.0,160.0,8.0,25000.0,,5.0,220.0
,818.0,,2500.0,272.0,190.0,9.9,20000.0,,5.0,250.0
,818.0,,2500.0,204.0,222.0,7.6,40000.0,,5.0,350.0
,818.0,,3956.0,421.0,250.0,4.9,70000.0,,5.0,770.0
,818.0,,1395.0,150.0,200.0,7.5,30000.0,,4.0,250.0
,818.0,,2500.0,272.0,210.0,8.7,28000.0,,5.0,250.0
,818.0,,2500.0,201.0,180.0,7.8,45000.0,,5.0,310.0
,818.0,,2500.0,272.0,217.0,8.4,30000.0,,4.0,200.0
,818.0,,1781.0,98.0,165.0,12.0,25000.0,,5.0,170.0
,818.0,,1984.0,228.0,250.0,6.5,31000.0,,5.0,350.0
,818.0,,1984.0,272.0,250.0,5.6,50000.0,,5.0,420.0
,818.0,,2500.0,272.0,200.0,8.5,27000.0,,5.0,250.0
,818.0,,3189.0,240.0,250.0,6.2,40000.0,,5.0,320.0
,818.0,,2500.0,272.0,220.0,8.5,26000.0,,5.0,280.0
,818.0,,1781.0,137.0,220.0,7.1,35000.0,,4.0,230.0
,818.0,,1199.0,272.0,190.0,10.5,20000.0,,5.0,210.0
,818.0,,1968.0,184.0,230.0,7.5,38000.0,,5.0,380.0
,818.0,,1598.0,272.0,200.0,4.1,45000.0,,5.0,400.0
